,question,answer,model_answer,confidence_score,start_index,end_index,context,comparison,f1_score
28,"For the Finance master, who can I contact for more details regarding the application process?",the Programme Administrator via email at: mgmt-finance@ucl.ac.uk,the,2.5494862256891793e-06,76,79,"For further information regarding the MSc Finance programme, please contact the Programme Administrator via email at: mgmt-finance@ucl.ac.uk . For further information regarding applications application please see the UCL Postgraduate Admissions Website . ",False,0.25
29,"For the master program in Finance, how to obtain my CAS number?",please visit UCL’s offer holders FAQ’s page and see the section titled ‘immigration’,please,1.8713930103331222e-06,100,106,"For more information regarding the issuing of Confirmation of Acceptance for Studies (CAS) numbers, please visit UCL’s offer holders FAQ’s page and see the section titled ‘immigration’. ",False,0.14285714285714288
30,"For the master program in Finance, is there any scholarship provided?",Take a look at the UCL fees and funding pages for details.,Take a look at the UCL fees and funding pages for details.,0.9999980926513672,71,129,There are a number of different ways you can fund your graduate study. Take a look at the UCL fees and funding pages for details.,True,1.0
31,Is the Business analytics master going to last for a full calender year?,a full calendar year from mid- September to mid-September,a full calendar year from mid- September to mid-September,0.9999980926513672,21,78,"The course lasts for a full calendar year from mid- September to mid-September. The majority of teaching finishes at the end of Term Two, allowing students to prepare for the dissertation project. Please see UCL term dates , noting the term date exceptions which apply to Postgraduate students.",True,1.0
32,Is it required to complete a Bachelor degree in business or finance to be considered for this program for the Finance master?,"we stress to our applicants that this programme is highly mathematical and quantitative, so you should be prepared to be pushed in these areas.",.,1.593198817317898e-06,226,227,"While we do welcome students from a wide variety of backgrounds onto the programme, we stress to our applicants that this programme is highly mathematical and quantitative, so you should be prepared to be pushed in these areas. Should you be admitted onto the programme, you may wish to do some extra preparation in these areas to ensure your basic knowledge is on par with your peers. You can ask our team for more information about what to prepare for.",False,0.0
33,What is the earliest date I can apply for master BA programme?,18 October 2021,18 October 2021,0.9999923706054688,63,78,Applications to join the programme in September 2022 opened on 18 October 2021 and close on 31 March 2022 (this can be earlier if the places are filled). Applications to start the programme in September 2023 will open from October 2022. You can apply via UCL’s online portal .,True,1.0
34,What are the good things to include a professional statement in my application to MSc Master?,A professional statement is a key component of the application process and must accompany the initial application.,.,1.1137180990772322e-06,113,114,"A professional statement is a key component of the application process and must accompany the initial application. The statement will capture and articulate the motivation to pursue the MSc Finance programme, demonstrating a clear interest in finance and economics, feeding into a statement of well-researched and grounded, short and long-term professional and personal objectives. We also require a copy of your CV.",False,0.0
35,Should I wait until last minute for my application to Business Analytics Master?,The sooner the better,The sooner the better,0.9999885559082031,0,21,"The sooner the better. Apply to see if you meet the requirements and if you get an interview. Applications are open until 31 March 2022, however this could be earlier if the programme is filled.",True,1.0
36,Is programming skills need to study the BA Program?,"Yes, we would recommend you have experience of using a programming language","Yes, we would recommend you have experience of using a programming language",0.9999923706054688,0,75,"Yes, we would recommend you have experience of using a programming language as you will be required to use this throughout the programme. You will undertake a core module in Programming for Business Analytics, which ensures that you have the necessary computational skills to be able to make effective use of the latest analytics tools. For full details of the admissions requirements, see the Student Profile, above.",True,1.0
37,"For the master program in Finance, do you provide internship opportunities?","in Term Three and during the summer, participants engage in the design, execution and delivery of a finance research project which will be supported by a compulsory 10-hour research methods module.",in,2.9784835078316974e-06,448,450,"All participants study four core modules in Term One, providing a robust quantitative underpinning in key areas of finance. In Term Two, a further two core modules are studied, again reflecting a quantitative thrust. An elective portfolio is offered, with four elective modules which can be undertaken in Term Two and/or Term Three. The elective modules enable participants to develop their interests in a number of specialist areas. Additionally, in Term Three and during the summer, participants engage in the design, execution and delivery of a finance research project which will be supported by a compulsory 10-hour research methods module.",False,0.0625
38,"For MSc Finance, is a Resume or CV required for my application?",We also require a copy of your CV.,We also require a copy of your CV.,0.9999961853027344,382,416,"A professional statement is a key component of the application process and must accompany the initial application. The statement will capture and articulate the motivation to pursue the MSc Finance programme, demonstrating a clear interest in finance and economics, feeding into a statement of well-researched and grounded, short and long-term professional and personal objectives. We also require a copy of your CV.",True,1.0
39,"For Business Analytics, what is the English exam requirement?",please note that UCL’s English language requirements must be met,please note that UCL’s English language requirements must be met,0.9999923706054688,362,426,"Start date: September 2022 Duration: 12 months full-time Fees: UK - £19,400, and Overseas - £35,100 Application deadline: Applications open on 18 October 2021 and close on 31 March 2022 (please note that this is subject to change if the programme is filled before this date) Entry: Minimum of 2:1 or equivalent in a relevant discipline (International students - please note that UCL’s English language requirements must be met (a ‘Good Level’ IELTS test is currently required for this programme) further details regarding this can be found at the UCL English Language Requirements page. Coronavirus Information: See more information below",True,1.0
40,"For the Finance master, do I have to be good at maths to be considered?","we stress to our applicants that this programme is highly mathematical and quantitative, so you should be prepared to be pushed in these areas.",we,1.0480487162567442e-06,84,86,"While we do welcome students from a wide variety of backgrounds onto the programme, we stress to our applicants that this programme is highly mathematical and quantitative, so you should be prepared to be pushed in these areas. Should you be admitted onto the programme, you may wish to do some extra preparation in these areas to ensure your basic knowledge is on par with your peers. You can ask our team for more information about what to prepare for.",False,0.07999999999999999
41,"If my application to MSc Business analytics is unsuccessful,  how can I find out the feedback?",we are unable to give details as to why individual applications have been unsuccessful,we are unable to give details as to why individual applications have been unsuccessful,0.999995231628418,15,101,"Unfortunately, we are unable to give details as to why individual applications have been unsuccessful. We cannot reconsider decisions due to the high volume of applications.",True,1.0
42,"For Business Analytics, do I have to do an interview?",Applicants who meet the entry requirements and are suitable for the course may be invited for an online interview via WePow,Applicants,0.00010343668691348284,0,10,Applicants who meet the entry requirements and are suitable for the course may be invited for an online interview via WePow,False,0.0909090909090909
43,"For MSc Finance, do I need a CAS number?",please visit UCL’s offer holders FAQ’s page and see the section titled ‘immigration’. ,and see the section titled ‘immigration’,7.875700167471868e-16,144,184,"For more information regarding the issuing of Confirmation of Acceptance for Studies (CAS) numbers, please visit UCL’s offer holders FAQ’s page and see the section titled ‘immigration’. ",False,0.5263157894736842
44,What is the main programming languages that are used for MSc BA?,"The core elements of the programme are delivered in Python. In other modules we also use; R, Stata and JavaScript but Python is the main language used.",.,2.0417296582309064e-06,150,151,"The core elements of the programme are delivered in Python. In other modules we also use; R, Stata and JavaScript but Python is the main language used.",False,0.0
45,What documents do I need to submit for the application of Business Analytics Master Programme?,"You will need to include a degree transcript in one of the suggested disciplines, two references, and a personal statement. Overseas applicants should also supply evidence of their English language ability usually via an IELTS test.",You,1.4331291140479152e-06,0,3,"You will need to include a degree transcript in one of the suggested disciplines, two references, and a personal statement. Overseas applicants should also supply evidence of their English language ability usually via an IELTS test.",False,0.05405405405405406
46,"For MSc Finance, is it important for me to arrive before start day?",prior to 26 September 2022,prior to 26 September 2022,0.9999990463256836,31,57,"All students must be in London prior to 26 September 2022, which is the first day of the first term.",True,1.0
47,What career support is provided from MSc Business Analytics?,Please visit the careers website for information regarding our dedicated careers support.,Please visit the careers website for information regarding our dedicated careers support.,0.9999818801879883,0,89,Please visit the careers website for information regarding our dedicated careers support.,True,1.0
48,"For the Finance master, what internship opportunities do you provide?","in Term Three and during the summer, participants engage in the design, execution and delivery of a finance research project which will be supported by a compulsory 10-hour research methods module.",in,3.094336989306612e-06,448,450,"All participants study four core modules in Term One, providing a robust quantitative underpinning in key areas of finance. In Term Two, a further two core modules are studied, again reflecting a quantitative thrust. An elective portfolio is offered, with four elective modules which can be undertaken in Term Two and/or Term Three. The elective modules enable participants to develop their interests in a number of specialist areas. Additionally, in Term Three and during the summer, participants engage in the design, execution and delivery of a finance research project which will be supported by a compulsory 10-hour research methods module.",False,0.0625
49,What is the tuition fee for interntional students for MSc Finance?,"UK/EU/Overseas - £38,000","UK/EU/Overseas - £38,000",0.9999971389770508,63,87,"Start date: September 2022 Duration: 12 months full-time Fees: UK/EU/Overseas - £38,000 Application deadline: Applications open on 18 October 2021 and close on 31 March 2022 (this is subject to change if the programme is filled before this date). Entry: Minimum of 2:1 or equivalent in a relevant discipline (International students - please note that UCL's English language requirements must be met (a 'Good Level' IELTS test is currently required for this programme) Coronavirus Information: See more information below",True,1.0
50,Is there a lot of choice in accomdations for students studying MSc Business Analytics?,Please see student accommodation for details of accommodation available at UCL.,Please see student accommodation for details of accommodation available at UCL.,0.9999914169311523,0,79,Please see student accommodation for details of accommodation available at UCL.,True,1.0
51,Whar are the desired academic background for MSc Finance?,"economics, finance, mathematics, mathematical economics, econometrics, economic theory, statistics, engineering, or any combination of thereof",thereof,1.1118067959614564e-06,199,206,"Our students come from different academic backgrounds including economics, finance, mathematics, mathematical economics, econometrics, economic theory, statistics, engineering, or any combination of thereof. Degrees from other disciplines may be considered if the applicant has a background in mathematics or econometrics.",False,0.125
52,What is the number of modules that are required to take for BA program?,"students undertake six core modules, two optional modules and complete a Consulting Project/Dissertation.",students,3.92874767385365e-07,17,25,"During the year, students undertake six core modules, two optional modules and complete a Consulting Project/Dissertation.",False,0.14285714285714288
53,Do I have to study full time for the BA master programme?,full-time,full-time,0.9999942779541016,47,56,"Start date: September 2022 Duration: 12 months full-time Fees: UK - £19,400, and Overseas - £35,100 Application deadline: Applications open on 18 October 2021 and close on 31 March 2022 (please note that this is subject to change if the programme is filled before this date) Entry: Minimum of 2:1 or equivalent in a relevant discipline (International students - please note that UCL’s English language requirements must be met (a ‘Good Level’ IELTS test is currently required for this programme) further details regarding this can be found at the UCL English Language Requirements page. Coronavirus Information: See more information below",True,1.0
54,"For the Finance master, do I have to have relevant work experiences to be eligible for admission?","MSc Finance students are expected to have basic knowledge in financial mathematics and econometrics, and should be motivated to take their knowledge to the next level.",MSc,1.3599568546851515e-06,0,3,"MSc Finance students are expected to have basic knowledge in financial mathematics and econometrics, and should be motivated to take their knowledge to the next level. To get to that next level, we expect a great deal from our students, so if you choose to study with us, you can expect to be working hard, challenging yourself as we challenge you, and regularly finding yourself out of your comfort zone.",False,0.07407407407407407
55,"For the master program in Finance, is there any resources regarding coronavirus?",please visit UCL's prospective students Coronavirus (COVID-19) information pages,please,9.435016181669198e-07,313,319,"Our top priority is the wellbeing and safety of our students and staff. The campus itself has been reconfigured in line with Government guidelines to ensure it is as safe as possible, with a wide range of safety measures in place. For advice and information concerning UCL’s response to the coronavirus outbreak, please visit UCL's prospective students Coronavirus (COVID-19) information pages . ",False,0.19999999999999998
56,Where can I find the details about UCL's response to Covid-19 for MSc Finance?,please visit UCL's prospective students Coronavirus (COVID-19) information pages,pages,3.5108334941469366e-06,388,393,"Our top priority is the wellbeing and safety of our students and staff. The campus itself has been reconfigured in line with Government guidelines to ensure it is as safe as possible, with a wide range of safety measures in place. For advice and information concerning UCL’s response to the coronavirus outbreak, please visit UCL's prospective students Coronavirus (COVID-19) information pages . ",False,0.19999999999999998
57,"For MSc Finance, what support is provided to student regarding coronavirus?",please visit UCL's prospective students Coronavirus (COVID-19) information pages,pages,1.6794458588265115e-06,388,393,"Our top priority is the wellbeing and safety of our students and staff. The campus itself has been reconfigured in line with Government guidelines to ensure it is as safe as possible, with a wide range of safety measures in place. For advice and information concerning UCL’s response to the coronavirus outbreak, please visit UCL's prospective students Coronavirus (COVID-19) information pages . ",False,0.19999999999999998
58,When is the start day for the master program in Finance?,prior to 26 September 2022,prior to 26 September 2022,0.9999961853027344,31,57,"All students must be in London prior to 26 September 2022, which is the first day of the first term.",True,1.0
59,Is it possible to study MSc Finance on a part time basis?,This programme is full-time for one year,This programme is full-time for one year,0.9999942779541016,0,40,"This programme is full-time for one year, starting in September 2022 and ending in September 2023.",True,1.0
60,Is it necessary to take GMAT or GRE examination for the master program in Finance?,We do not require GMAT/GRE scores,We do not require GMAT/GRE scores,0.999995231628418,378,411,"Qualifications which are requested to support an application, such as a 2:1 Bachelor’s degree or equivalent, will only be assessed once an application has been completed and submitted. The equivalency of overseas qualifications cannot be assessed until a full application with all supporting documentation such as degree transcripts, references, etc. has been submitted to UCL. We do not require GMAT/GRE scores - but applicants who have taken a test are encouraged to submit their results if they feel their score will strengthen their application - but students will need to pass a maths test provided by UCL to be eligible to receive a final admission letter. ",True,1.0
61,"For the Finance master, what are the university's response on covid outbreak?",please visit UCL's prospective students Coronavirus (COVID-19) information pages,pages,2.7013697945221793e-06,388,393,"Our top priority is the wellbeing and safety of our students and staff. The campus itself has been reconfigured in line with Government guidelines to ensure it is as safe as possible, with a wide range of safety measures in place. For advice and information concerning UCL’s response to the coronavirus outbreak, please visit UCL's prospective students Coronavirus (COVID-19) information pages . ",False,0.19999999999999998
62,"For the master program in Finance, would you consider applicant with a lower IELTS score?",an overall grade of 7.0 with a minimum of 6.5 in each of the subtests.,.,6.057403538761719e-07,389,390,"Applicants whose first language is not English must be able to provide evidence that their spoken and written command of the English language is adequate. UCL’s preferred English language qualification is the International English Language Testing System (IELTS). A ‘good level’ is required for MSc Finance, which means an overall grade of 7.0 with a minimum of 6.5 in each of the subtests. You can learn more about UCL's accepted English Language requirements here . ",False,0.0
63,When is the start date for applying MSc Finance?,18 October 2021,18 October 2021,0.9999790191650391,51,66,Applications for the 2022/23 academic year open on 18 October 2021.,True,1.0
64,Can I discuss with faulty to check my eligibility of MSc Business Analytics?,We consider such requests on a “case by case” basis.,We consider such requests on a “case by case” basis.,0.9999923706054688,0,52,"We consider such requests on a “case by case” basis. However, we do encourage you to come along to one of our open events on campus or join a virtual session.",True,1.0
65,What is the lowest score for IELTS do I need to achieve for Business Analytics?,"an overall grade of 7.0, with a minimum of 6.5 in each of the subtests",subtests,8.224550356317195e-07,1175,1183,"Academic Profile: The minimum entrance requirements are an upper second-class (2:1) Bachelor’s degree from a UK university or an overseas equivalent and a strong aptitude for quantitative analysis. Applicants are likely to have studied a range of degrees including business, engineering, computer science, economics, and psychology. International Students may ascertain qualification equivalents from the UCL international students website. UCL Admissions check qualification equivalencies before forwarding application forms to our School. The UCL School of Management is unable to comment on international qualifications. 
Career Aspirations: Focused on helping global companies and high-growth businesses use business analytics to tackle world-scale problems. 
English Language Skills: Applicants whose first language is not English must be able to provide evidence that their spoken and written command of the English language is adequate. UCL’s preferred English language qualification is the International English Language Testing System (IELTS). A ‘Good Level’ is required for the Business Analytics: i.e. an overall grade of 7.0, with a minimum of 6.5 in each of the subtests. 
Application Process: Qualifications are assessed only once an application has been submitted. The equivalency of overseas qualifications cannot be assessed unless a full application with all supporting documentation such as degree transcripts, references, etc. has already been submitted to UCL. 
",False,0.125
66,Who should I contact for more information for MSc Finance?,the Programme Administrator via email at: mgmt-finance@ucl.ac.uk,the,1.8957451857204433e-06,76,79,"For further information regarding the MSc Finance programme, please contact the Programme Administrator via email at: mgmt-finance@ucl.ac.uk . For further information regarding applications application please see the UCL Postgraduate Admissions Website . ",False,0.25
67,Who can I contact for further information regarding the application process for the Finance master?,the Programme Administrator via email at: mgmt-finance@ucl.ac.uk,uk,2.199484697484877e-06,138,140,"For further information regarding the MSc Finance programme, please contact the Programme Administrator via email at: mgmt-finance@ucl.ac.uk . For further information regarding applications application please see the UCL Postgraduate Admissions Website . ",False,0.0
68,Am I eligible if I do not meet the IELTs requirement for the master program in Finance?,Applicants whose first language is not English must be able to provide evidence that their spoken and written command of the English language is adequate.,Applicants,5.30304077983601e-06,0,10,"Applicants whose first language is not English must be able to provide evidence that their spoken and written command of the English language is adequate. UCL’s preferred English language qualification is the International English Language Testing System (IELTS). A ‘good level’ is required for MSc Finance, which means an overall grade of 7.0 with a minimum of 6.5 in each of the subtests. You can learn more about UCL's accepted English Language requirements here . ",False,0.07692307692307693
69,Does UCL provide student accomodation for students in MSc Business Analytics?,Please see student accommodation for details of accommodation available at UCL.,Please see student accommodation for details of accommodation available at UCL.,0.999995231628418,0,79,Please see student accommodation for details of accommodation available at UCL.,True,1.0
70,"For the Finance master, are there any scholarships that I can apply for?",Take a look at the UCL fees and funding pages for details.,Take a look at the UCL fees and funding pages for details.,0.9999971389770508,71,129,There are a number of different ways you can fund your graduate study. Take a look at the UCL fees and funding pages for details.,True,1.0
71,Can I enrol in BA part-time?,"No, unfortunately this programme is not offered as a part-time study.","No, unfortunately this programme is not offered as a part-time study.",0.999995231628418,0,69,"No, unfortunately this programme is not offered as a part-time study.",True,1.0
72,"For the Finance master, am I eligible if I do not meet the IELTs requirement?",Applicants whose first language is not English must be able to provide evidence that their spoken and written command of the English language is adequate.,Applicants,5.387044893723214e-06,0,10,"Applicants whose first language is not English must be able to provide evidence that their spoken and written command of the English language is adequate. UCL’s preferred English language qualification is the International English Language Testing System (IELTS). A ‘good level’ is required for MSc Finance, which means an overall grade of 7.0 with a minimum of 6.5 in each of the subtests. You can learn more about UCL's accepted English Language requirements here . ",False,0.07692307692307693
73,"For the Finance master, do you provide internship opportunities?","in Term Three and during the summer, participants engage in the design, execution and delivery of a finance research project which will be supported by a compulsory 10-hour research methods module.",in,2.7430755835666787e-06,448,450,"All participants study four core modules in Term One, providing a robust quantitative underpinning in key areas of finance. In Term Two, a further two core modules are studied, again reflecting a quantitative thrust. An elective portfolio is offered, with four elective modules which can be undertaken in Term Two and/or Term Three. The elective modules enable participants to develop their interests in a number of specialist areas. Additionally, in Term Three and during the summer, participants engage in the design, execution and delivery of a finance research project which will be supported by a compulsory 10-hour research methods module.",False,0.0625
